Дата,store_id,grouptxt,item_id,Quantity
2025-04-03,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.535581112288273
2025-04-04,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.539638451059216
2025-04-05,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.464591766540088
2025-04-06,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.6019358624801874
2025-04-07,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.600416793466319
2025-04-08,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.5244877765180727
2025-04-09,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.4353216320111355
2025-04-10,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.53753076724526
2025-04-11,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.541894876718186
2025-04-12,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.4656432411924305
2025-04-13,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.6003098966870826
2025-04-14,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.594721904858283
2025-04-15,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.513452496692417
2025-04-16,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.4178296955209
2025-04-17,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.5126515574879695
2025-04-18,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.508908352118819
2025-04-19,jsySHiRm8fJNrz6IubJskA==,Наушники,jagAUFaNLXIR6Vp7jFGOeA==,-2.424058732747023
